title,author,date,topic,description,url
Playing the Race Card,Review Staff,2024-10-07,Campus,CML and BSU have been playing the race card in recent weeks after a stream of events...,https://www.thecornellreview.org/playing-the-race-card/
Should Joel Malina Be Fired?,Review Staff,2024-10-07,Beyond Cayuga's Waters,"Cornell’s Black Student Union (BSU) has reformulated its demands and included the firing of Joel Malina, the...",https://www.thecornellreview.org/should-joel-malina-be-fired/
Cornell Drops in 2025 FIRE Free Speech Rankings,Review Staff,2024-10-03,Campus,"Each year, the Foundation for Individual Rights and Expression (FIRE) conducts a survey of college students about...",https://www.thecornellreview.org/cornell-drops-in-2025-fire-free-speech-rankings/
Interim Expressive Activity Policy Discussed at University Assembly,Review Staff,2024-10-02,Cornell Politics,"On October 1, 2024, the University Assembly (UA) met in the Physical Sciences Building. The UA is...",https://www.thecornellreview.org/interim-expressive-activity-policy-discussed-at-university-assembly/
Daryl Davis To Speak on Race Relations,Review Staff,2024-10-01,Campus,"Daryl Davis, who has befriended a number of members of the Klu Klux Klan, will speak on...",https://www.thecornellreview.org/daryl-davis-to-speakon-race-relations/
"Happy 100th Birthday, President Carter",Review Staff,2024-10-01,"Beyond Cayuga's Waters
Uncategorized","President James Earl Carter, Jr. was born on Oct. 1, 1924. He has reached his...",https://www.thecornellreview.org/happy-100th-birthday-president-carter/
Kavita Bala Named Cornell Provost,Review Staff,2024-09-25,Campus,"On September 25, Cornell announced that Kavita Bala will serve as the next Provost starting January 1,...",https://www.thecornellreview.org/kavita-bala-named-cornell-provost/
Ithaca Labor News,Review Staff,2024-09-25,Ithaca,Here are three recent developments of interest to Cornell Review readers about labor relations,https://www.thecornellreview.org/ithaca-labor-news/
CML Realizes It Overstepped Social Norms,Review Staff,2024-09-25,Campus,"On Wednesday, Sept. 18, the Coalition for Mutual Liberation (CML) marched from Day Hall to Statler Hall...",https://www.thecornellreview.org/cml-realizes-it-overstepped-social-norms/
Cornell Republicans to Host Ben Shapiro,Review Staff,2024-09-24,"Ithaca
Politics","On Monday, October 28, the Cornell Republicans will host a highly anticipated event featuring conservative commentator and...",https://www.thecornellreview.org/cornell-republicans-to-host-ben-shapiro/
Opinion: Honor The Spirit of the Kops Lecture,Review Staff,2024-09-22,Campus,The Cornell Kops Lecture deserves more respect.,https://www.thecornellreview.org/opinion-honor-the-spirit-of-the-kops-lecture/
Cornell Students To Apply For Antitrust Settlement Funds,Nick Dalena,2024-09-18,Campus,Cornell students can now apply to share the funds from a long-running class action lawsuit regarding cooperation...,https://www.thecornellreview.org/cornell-students-to-apply-for-antitrust-settlement-funds/
CML Disrupts Campus Recruitment,Nick Dalena,2024-09-18,Campus,"The 1:30 p.m. September 18 rally by the Coalition for Mutual Liberation (CML) targeted on-campus recruiting.Previously, CML...",https://www.thecornellreview.org/cml-fights-on-campus-recruiters/
Teamsters to Strike BorgWarner,Nick Dalena,2024-09-13,Campus,"On Sunday, Sept. 8, a collective bargaining agreement between BorgWarner and about 700 assembly line workers represented...",https://www.thecornellreview.org/teamsters-to-strike-borgwarner/
