hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,arrival_date
City_Hotel,1,0,1,2,none,BB,Direct,Direct,0,0,0,A,A,2,No_Deposit,0,Transient,123.33,none,0,2016-10-25
City_Hotel,137,1,1,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,80,none,1,2017-03-06
Resort_Hotel,322,0,3,2,none,HB,Groups,Direct,0,0,0,A,A,0,No_Deposit,75,Transient-Party,92,none,0,2016-06-22
City_Hotel,140,0,3,1,none,BB,Groups,TA/TO,0,0,0,A,D,1,No_Deposit,87,Transient-Party,65,none,0,2015-11-18
City_Hotel,296,1,1,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,86.63,none,1,2017-08-19
City_Hotel,395,0,3,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,112.67,none,0,2017-05-17
City_Hotel,155,2,1,3,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,137.7,none,2,2016-07-17
City_Hotel,98,1,1,1,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,126,none,0,2017-06-26
City_Hotel,131,0,3,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient,87.03,none,3,2016-08-03
Resort_Hotel,17,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient-Party,60,none,0,2016-02-26
City_Hotel,88,0,2,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,2,No_Deposit,0,Transient,112.1,none,1,2017-03-24
City_Hotel,135,2,1,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,78.65,none,0,2016-10-30
Resort_Hotel,32,2,5,2,none,BB,Online_TA,TA/TO,0,0,0,E,E,2,No_Deposit,0,Transient,209,none,1,2016-07-25
Resort_Hotel,2,0,1,2,none,BB,Corporate,Corporate,0,0,0,A,A,1,No_Deposit,0,Transient,122,none,0,2016-09-07
City_Hotel,40,2,2,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,62,none,0,2015-08-15
Resort_Hotel,1,0,2,2,none,BB,Direct,Direct,0,0,0,D,D,0,No_Deposit,0,Transient,75,none,0,2016-02-10
City_Hotel,16,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,98,none,1,2016-01-15
City_Hotel,0,0,4,2,none,BB,Direct,Direct,0,0,0,A,A,1,No_Deposit,0,Transient,100.25,none,0,2017-01-31
Resort_Hotel,23,0,1,2,none,BB,Direct,Direct,0,0,0,D,D,0,No_Deposit,0,Transient,58,none,1,2015-12-30
Resort_Hotel,0,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,F,F,0,No_Deposit,0,Transient,122.43,parking,1,2016-07-05
Resort_Hotel,12,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,72,parking,1,2015-10-12
City_Hotel,63,1,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient,89.25,none,1,2015-10-10
City_Hotel,44,1,4,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,2,No_Deposit,0,Transient,74.8,none,1,2016-11-16
City_Hotel,39,1,4,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,175.08,none,1,2015-09-23
Resort_Hotel,93,3,8,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Contract,56.01,none,0,2015-07-02
Resort_Hotel,138,0,0,2,none,BB,Online_TA,TA/TO,0,0,0,E,I,0,No_Deposit,0,Transient,0,none,1,2016-08-10
City_Hotel,8,0,1,1,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,83.39,none,1,2016-10-25
City_Hotel,36,0,4,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,106.68,none,0,2017-03-14
City_Hotel,118,1,3,1,none,BB,Offline_TA/TO,Corporate,0,0,0,A,A,1,No_Deposit,0,Transient-Party,110,none,0,2016-06-06
Resort_Hotel,277,2,5,1,none,HB,Groups,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,43.41,none,0,2015-10-06
City_Hotel,4,2,1,2,none,BB,Direct,Direct,0,0,0,A,A,1,No_Deposit,0,Transient,114,none,1,2015-10-11
Resort_Hotel,62,4,6,2,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,77.8,none,1,2017-03-25
City_Hotel,15,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,118.33,none,1,2016-04-15
Resort_Hotel,16,1,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,48,none,1,2016-02-27
Resort_Hotel,10,1,2,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,35,parking,0,2016-02-15
City_Hotel,20,0,2,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,62,none,0,2015-07-22
Resort_Hotel,7,1,3,1,none,BB,Groups,Corporate,0,0,0,A,A,1,No_Deposit,0,Transient-Party,29,none,0,2017-03-02
Resort_Hotel,180,2,4,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient-Party,126,none,1,2016-08-04
City_Hotel,278,0,4,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient,110,none,2,2017-06-14
City_Hotel,73,0,3,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,85,none,0,2016-07-14
City_Hotel,0,0,1,1,none,BB,Complementary,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,0,none,0,2015-09-17
Resort_Hotel,18,0,1,2,none,BB,Direct,Corporate,0,0,0,A,A,0,No_Deposit,0,Transient,66,none,1,2016-10-11
Resort_Hotel,40,2,3,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,204,none,2,2017-07-30
Resort_Hotel,183,4,10,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,102.66,none,0,2016-07-19
Resort_Hotel,56,0,3,2,none,BB,Direct,Direct,0,0,0,A,A,2,No_Deposit,0,Transient,199,none,2,2016-08-02
Resort_Hotel,217,2,5,2,none,HB,Groups,TA/TO,0,0,0,A,A,2,No_Deposit,61,Transient-Party,81.43,none,0,2017-05-08
City_Hotel,3,2,3,1,none,BB,Direct,Direct,1,0,1,A,A,0,No_Deposit,0,Transient,107,none,1,2017-04-02
Resort_Hotel,166,1,4,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,127.2,none,0,2016-08-08
City_Hotel,45,2,3,2,none,BB,Online_TA,TA/TO,0,0,0,A,B,1,No_Deposit,0,Transient-Party,99.79,none,0,2016-04-24
City_Hotel,55,2,3,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,60,none,0,2015-11-15
Resort_Hotel,27,2,4,1,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,55.8,none,2,2016-11-06
City_Hotel,316,0,3,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,110,none,0,2016-05-26
City_Hotel,116,0,2,1,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,90,none,0,2017-03-24
City_Hotel,7,1,4,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,121,none,1,2016-04-27
City_Hotel,73,1,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,126.9,none,0,2016-06-11
City_Hotel,2,0,1,1,none,BB,Corporate,Corporate,1,0,3,D,D,1,No_Deposit,0,Transient,119,parking,1,2016-04-20
City_Hotel,53,1,2,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,65,none,1,2016-06-24
City_Hotel,60,2,0,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,72.25,none,0,2016-07-10
City_Hotel,0,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,106,none,0,2016-02-13
City_Hotel,1,0,2,1,none,BB,Corporate,Corporate,0,0,0,A,D,0,No_Deposit,0,Transient-Party,90,none,0,2015-09-09
City_Hotel,6,2,5,2,none,BB,Online_TA,TA/TO,0,0,0,D,E,0,No_Deposit,0,Transient,144.57,none,2,2016-06-10
City_Hotel,81,2,0,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,90,none,1,2016-05-15
City_Hotel,34,2,7,3,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,168.3,none,1,2016-08-16
City_Hotel,87,2,3,3,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,189,none,0,2017-05-28
Resort_Hotel,1,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,241,parking,0,2016-08-13
City_Hotel,192,0,2,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,95,none,0,2016-10-21
City_Hotel,20,0,2,2,none,BB,Groups,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient-Party,62,none,0,2015-07-22
City_Hotel,17,2,2,1,none,BB,Groups,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient-Party,170,none,0,2015-09-26
Resort_Hotel,34,2,6,3,none,HB,Offline_TA/TO,TA/TO,0,0,0,D,D,1,No_Deposit,0,Transient,217.05,parking,1,2015-07-23
Resort_Hotel,126,2,7,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,45.6,none,1,2016-03-22
City_Hotel,227,2,5,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,80.75,none,0,2016-08-29
City_Hotel,150,1,4,1,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,3,No_Deposit,63,Transient-Party,71.6,none,0,2016-01-18
