album_name,track_number,track_name,artist,lyrics,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name
COWBOY CARTER,1,AMERIICAN REQUIEM,Beyoncé,"Nothin' really ends For things to stay the same, they have to change again Hello, my old friend You change your name, but not the ways you play pretend American Requiem Them big ideas (Yeah), are buried here (Yeah) Amen It's a lot of talkin' goin' on While I sing my song Can you hear me? I said, ""Do you hear me?"" Looka there, looka there now Looka there, looka there Looka-looka, looka there, looka there Looka-looka, looka there, looka there Looka-looka, looka there, looka there (Oh) Looka-looka, looka there, looka there (Yeah) It's a lotta chatter in here But let me make myself clear (Oh) Can you hear me? (Huh) Or do you fear me? (Ow) Can we stand for something? Now is the time to face the wind (Ow) Coming in peace and love, y'all Oh, a lot of takin' up space Salty tears beyond my gaze Can you stand me? (Can you stand me? Can you stand me? Can you stand me?) Ooh, ah Can we stand? (Can you stand me? Can you stand me? Can you stand me? Can you stand me? Can you stand me? Can you stand me?) Can you stand with me? Can we stand for something? Now is the time to face the wind Now ain't the time to pretend Now is the time to let love in Thinkin' to myself (Thinkin' to myself) Oh, it's a lot of talkin' goin' on (Oh) While I sing my song (Yeah) Do you hear me when I say? Do you hear me when I say? Ah Looka there, looka there Looka, look Looka-looka-looka-looka-looka Looka-looka there, looka there L-l-l-l-l-l-l-l-l-l-looka there Oh, looka there, looka there Looka there, looka there (Can you stand me? Can you stand me? Can you stand me?) L-L-L-L-L-L-L-L-L-L-L (Can you stand me? Can you stand me? Can you stand me?) Can we stand for something? Now is the time to face the wind (Now is the time to face the wind) Now ain't the time to pretend Now is the time to let love in (To let love in) Together, can we stand? Looka there, looka in my hand The grandbaby of a moonshine man Gadsden, Alabama Got folk down in Galveston, rooted in Louisiana Used to say I spoke too country And the rejection came, said I wasn't country 'nough Said I wouldn't saddle up, but If that ain't country, tell me what is? Plant my bare feet on solid ground for years They don't, don't know how hard I had to fight for this When I sang my song (When I sang the song of Abraham) (When the angels guide and take my hand) (Oh, no) Goodbye to what has been A pretty house that we never settled in A funeral for fair-weather friends I am the one to cleanse me of my Father's sins American Requiem Them big ideas (Yeah) are buried here (Yeah) Amen",0.374,0.515,-6.482,0.0363,0.0963,0,0.171,0.0568,93.769,4,325037,FALSE,E,major
COWBOY CARTER,3,16 CARRIAGES,Beyoncé,"Sixteen carriages drivin' away While I watch them ride with my dreams away To the summer sunset on a holy night On a long back road, all the tears I fight Sixteen carriages drivin' away While I watch them ride with my dreams away To the summer sunset on a holy night On a long black road, all the tears I fight At fifteen, the innocence was gone astray Had to leave my home at an early age I saw Mama prayin', I saw Daddy grind All my tender problems, had to leave behind It's been umpteen summers, and I'm not in my bed On the back of the bus in a bunk with the band Goin' so hard, gotta choose myself Undеrpaid and overwhelmed I might cook, clеan, but still won't fold Still workin' all my life, you know Only God knows, only God knows Only God knows Sixteen carriages drivin' away While I watch them ride with my fears away To the summer sunset on a holy night On a long back road, all the tears I fight Sixteen carriages drivin' away While I watch them ride with my fears away To the summer sunset on a holy night On a long back road, all the tears I fight Sixteen dollars, workin' all day Ain't got time to waste, I got art to make I got love to create on this holy night They won't dim my light, all these years I fight It's been thirty-eight summers, and I'm not in my bed On the back of the bus in a bunk with the band Goin' so hard, now I miss my kids Overworked and overwhelmed I might cook, clean, but still won't fold Still workin' all my life, you know Only God knows, only God knows Only God knows Sixteen carriages driving away While I watch them ride with my fears away To the summer sunset on a holy night On a long back road, all the tears I fight Sixteen carriages driving away While I watch them ride with my fears away To the summer sunset on a holy night On a long back road, all these tears I fight Oh, oh Oh At fifteen, the innocence was gone astray Had to take care of home at an early age I saw Mama cryin', I saw Daddy lyin' Had to sacrifice and leave my fears behind For legacy, if it's the last thing I do You'll remember me 'cause we got somethin' to prove In your memory, on the highway to truth Still see our faces when you close your eyes Sixteen carriages drivin' away While I watch them ride with my dreams away",0.525,0.456,-7.042,0.0798,0.382,0,0.167,0.342,126.691,4,227250,FALSE,C#,major
COWBOY CARTER,5,MY ROSE,Beyoncé,"How many times have you let yourself get you down? Let yourself get you down, my dear? So many roses but none to be picked without thorns So be fond of your flaws, dear La-la-la, la-la-la, love you La-la-la, la-la-la, I love you La-la-la, la-la-la, I just hope you love yourself like that And I really hope the best for you You're my love, my sweetie pie My baby, you're my heart I hope Oh, I hope",0.384,0.177,-11.755,0.0418,0.771,0,0.0943,0.59,175.953,3,53442,FALSE,D,minor
COWBOY CARTER,7,TEXAS HOLD 'EM,Beyoncé,"This ain't Texas (Woo) Ain't no hold 'em (Hey) So lay your cards down, down, down, down So park your Lexus (Woo) And throw your keys up (Hey) Stick around, 'round, 'round, 'round, 'round (Stick around) And I'll be damned if I can't slow-dance with you Come pour some sugar on me, honey, too It's a real-life boogie and a real-life hoedown Don't be a bitch, come take it to the floor now, woo, ha (Woo) There's a tornado (There's a tornado) In my city (In my city) Hit the basement (Hit the basement) That shit ain't pretty (That shit ain't pretty) Rugged whiskey (Rugged whiskey) 'Cause we survivin' ('Cause we survivin') Off red-cup kisses, sweet redemption, passin' time, yeah Ooh, one step to the right We heading to the dive bar we always thought was nice Ooh, run me to the left Then spin me in the middle, boy, I can't read your mind This ain't Texas (Woo) Ain't no hold 'em (Hey) So lay your cards down, down, down, down So park your Lexus (Woo) And throw your keys up (Hey) And stick around, 'round, 'round, 'round, 'round (Stick around) And I'll be damned if I can't slow-dance with you Come pour some sugar on me, honey, too It's a real-life boogie and a real-life hoedown Don't be a bitch, come take it to the floor now, woo And I'll be damned if I cannot dance with you Come pour some liquor on me, honey, too It's a real-life boogie and a real-life hoedown Don't be a bitch, come take it to the floor now, woo Woo-hoo Woo-hoo Woo-hoo There's a heatwave (There's a heatwave) Comin' at us (Comin' at us) Too hot to think straight (Too hot to think straight) Too cold to panic (Cold to panic) All of the problems Just feel dramatic (Just feel dramatic) And now we're runnin' to the first bar that we find, yeah Ooh, one step to the right We heading to the dive bar we always thought was nice Ooh, you run to the left Just work me in the middle boy, I can't read your mind This ain't Texas (Woo) Ain't no hold 'em (Hey) So lay your cards down, down, down, down, oh So park your Lexus (Hey) And throw your keys up (Hey) And stick around, 'round, 'round, 'round, 'round (Stick around) And I'll be damned if I cannot dance with you Come pour some sugar on me, honey, too It's a real-life boogie and a real-life hoedown Don't be a bitch, come take it to the floor now (Woo) And I'll be damned if I cannot dance with you Come pour some liquor on me, honey, too It's a real-life boogie and a real-life hoedown Don't be a—, come take it to the floor now, ooh Take it to the floor now, ooh Hoops, spurs, boots To the floor now, ooh Tuck, back, oops (Ooh, ooh, ooh) Shoot Come take it to the floor now, ooh And I'll be damned if I cannot dance with you Baby, pour that sugar and liquor on me, too Furs, spurs, boots Solargenic, photogenic, shoot",0.727,0.711,-6.549,0.078,0.582,0,0.158,0.375,110.012,4,233456,TRUE,D,major
COWBOY CARTER,8,BODYGUARD,Beyoncé,"One, two, three, four Ooh-ee-ooh, ah Ooh-ee-ooh So sweet I give you kisses in the backseat I whisper secrets in the backbeat You make me cry, you make me happy, happy (Happy) Leave my lipstick on the cigarette Just toss it, and you stomp it out, out, out Inhalin' whiskey when you kiss my neck We've been hurtin', but it's happy hour, oh, hour Oh, oh, oh They couldn't have me (Ah) And they never will And sometimes I hold you closer Just to know you're real (Ah) Wheels in the gravel Davis in my bones Sometimes I take the day off (Ah) Just to turn you on On, on, oh Honеy, honey I could be your bodyguard (Hey) Oh, honеy, honey I could be your Kevlar (Huh) Oh, honey, honey I could be your lifeguard (Huh) Ooh, honey, honey You should let me ride shotgun, shotgun Oh, oh, oh Be your best friend I protect you in the mosh pit And I'll defend you in the gossip You know how people like to start shit and pop shit I don't like the way she's lookin' at you Someone better hold me back, oh-oh Chargin' ten for a double and I'm talkin' I'm 'bout to lose it, turn around and John Wayne that ass (One, two, three, four) They couldn't catch you (Ah, with me) And they never will (You see) Sometimes I hold you closer Just to know you're real (Ah) Tell me your problems (I got you) I take how you feel (Mm, huh) I show you an exit (Ah) When you're restless I take the wheel Ooh, oh, oh Honey, honey You could be my bodyguard (Huh, uh) Oh, honey, honey Will you let me ride shotgun? Shotgun Oh, oh, oh Oh (Ah) Oh Oh (Ah) Oh I could be your bodyguard Please let me be your Kevlar (Huh) Baby, let me be your lifeguard Would you let me ride shotgun? Shotgun Oh, oh, oh One, two, three, four",0.726,0.779,-5.432,0.0551,0.0137,2.35e-4,0.365,0.539,119.031,4,240254,TRUE,E,minor
COWBOY CARTER,10,JOLENE,Beyoncé,"(Jolene) (Jolene) Jolene, Jolene, Jolene, Jolene I'm warnin’ you, don't come for my man (Jolene) Jolene, Jolene, Jolene, Jolene Don't take the chance because you think you can You’re beautiful, beyond compare Takes more than beauty and seductive stares To come between a family and a happy man Jolene, I'm a woman too Thе games you play are nothing new So you don't want no hеat with me, Jolene We've been deep in love for twenty years I raised that man, I raised his kids I know my man better than he knows himself (Yeah, what?) I can easily understand Why you're attracted to my man But you don't want this smoke, so shoot your shot with someone else (You heard me) Jolene, Jolene, Jolene, Jolene I'm warnin' you, woman, find you your own man Jolene, I know I’m a queen, Jolene I’m still a Creole banjee bitch from Louisiane (Don't try me) There’s a thousand girls in every room That act as desperate as you do You a bird, go on and sing your tune, Jolene (What?) I had to have this talk with you 'Cause I hate to have to act a fool Your peace depends on how you move, Jolene Me and my man crossed those valleys Highs and lows and everything between Good deeds roll in like tumblin' weeds I sleep good, happy 'Cause you can’t dig up our planted seeds I know my man's gon' stand by me, breathin' in my gentle breeze I crossed those valleys Highs and lows and everything between Good deeds roll in like tumblin' weeds Good and happy 'Cause you can't dig up them planted seeds Jolene, Jolene, Jolene, Jolene, Jolene I'ma stand by her, she gon' stand by me, Jolene I'ma stand by him, he gon' stand by me (I'ma stand by her, she gon' stand by me) I'ma stand by him, he gon' stand by me, Jolene",0.567,0.812,-5.434,0.164,0.532,0,0.73,0.853,106.179,4,189638,FALSE,B,minor
COWBOY CARTER,11,DAUGHTER,Beyoncé,"Your body laid out on these filthy floors Your bloodstains on my custom coutures Bathroom attendant let me right in She was a big fan I really tried to stay cool But your arrogance disturbed my solitude Now I ripped your dress and you're all black and blue Look what you made me do They keep sayin' that I ain't nothin' like my father But I'm the furthest thing from choir boys and altars If you cross me, I'm just like my father I am colder than Titanic water Help me, Lord, from these fantasies in my head They ain't ever been safe ones I don't fellowship with these fakе ones So let's travel to whitе chapels and sing hymns Hold rosaries, and sing in stained glass symphonies Cleanse me, Holy Trinity From this marijuana smoke smell in my hair I sashayed my dress Did my best impression of a damsel in distress This alcohol and smell of regret Allured my catch Outfit too small to hide my scars Feelin' bottled up like bottle service broads How long can he hold his breath before his death? Caro mio ben Credimi almen Senza di te Languisce il cor Il tuo fedel Sospira ognor Cessa, crudel Tanto rigor Ooh, ooh Help me, Lord, from these fantasies in my head They ain't ever been safe ones I don't fellowship with these fake ones So let's travel to white chapels and sing hymns Hold rosaries, sing in stained glass symphonies Cleanse me, Holy Trinity From this marijuana smoke smell in my hair Say I'm nothin' like my father But I'm the furthest thing from choir boys and altars Double cross me, I'm just like my father I am colder than Titanic water",0.374,0.448,-10.04,0.0364,0.789,0,0.118,0.386,114.108,4,203851,FALSE,A,minor
COWBOY CARTER,13,ALLIIGATOR TEARS,Beyoncé,"High tides in the city, I'm in too deep And I'm runnin' on fear Oh, dear, you and your alligator tears Works me over and through You say move a mountain And I'll throw on my boots You say stop the river from runnin' I'll build a dam or two You say change religions Now, I spend Sundays with you Somethin' 'bout those tears of yours How does it feel to be adored? You and your alligator tears You and those alligator tears You Somethin' 'bout those tears of yours How does it feel to be adored? Sunrise in the morning, you're all I need And all I need is rain or the roots get weak Sweet things need time to grow Thinkin' 'bout leaving? Hell no Squeeze every ounce of love from my body, yеah You say move a mountain And I'll throw on my boots You say stop the river from runnin' I'll build a dam or two You say changе religion Now, I spend Sundays with you Somethin' 'bout those tears of yours How does it feel to be adored? I adore you, I adore you, I adore you, I adore you Those alligator tears I adore you, I adore you, I adore you, I adore you Your alligator tears I adore you, I adore you, I adore you, I adore Alligator tears I adore, I adore you, I adore you, I adore, I adore (How does it feel to be adored?) Alligator tears",0.618,0.651,-9.662,0.0822,0.202,0,0.237,0.656,74.548,4,179397,FALSE,D,major
COWBOY CARTER,18,FLAMENCO,Beyoncé,"My mind has been tellin' me to settle right on down (Ooh) Right now Day ones have been tellin' me that they won't be around (Ooh) They won't be around I hope that you know that once I loved you (Oh) I wish that I'd known you'd let me wonder (Oh) I hope that God knows that I'm in need of help right now (Ooh) Right about now My soul is reminding me that we're forever young Ooh, mmm, ooh Inhale and exhale my breath until the deed is done Right about now, ayy, oh I hope that you know once it's over And take what you love, so hold me closer Realize that you don't know what you got until it's gone Right about now",0.497,0.351,-9.248,0.0274,0.764,1.5e-6,0.136,0.492,105.032,4,100364,FALSE,G,minor
COWBOY CARTER,20,YA YA,Beyoncé,"Hello, girls (Hello, Beyoncé) Hello, fellas (You're pretty swell) Those petty ones can't fuck with me (Why?) 'Cause I'm a clever girl, we snappin' (Pretty please) Toms, please We wanna welcome you to the Beyoncé Cowboy Carter: Act II, ah And a rodeo chitlin circuit We gon' make it do what it do, ya-ya Put them hands together We clappin' We drummin' (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) Oh, oh, ya-ya-ya (Oh, ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) Oh, ya-ya-ya-ya-ya-ya-ya-ya-ya-ya (Oh, ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) Ya-ya-ya-ya (Oh, ya) (Ya-ya) B-E-Y-I-N-C-E, ya My family live and died in America, hm Good ol' USA, shit (Good ol' USA) Whole lotta red in that white and blue, huh History can't be erased, ooh You lookin' for a new America? (America) Are you tired, workin' time and a half for half the pay? (Woo-hoo) Ya-ya (Half the pay, oh-oh) I just pray that we don't crash, keep my Bible on the dash We gotta keep the faith Wildfire burnt his house down Insurance ain't gon' pay no Fannie Mae, shit So hold this holster, pour mo' liquor, please Hard workin' man ain't got no money in the bank Huh, the ya-ya Turn up the vinyl and the radio (Radio) He can't watch the news nowadays (Nowadays) Oh, I just pray that he don't crash, keep his pistol on the dash He gotta keep the faith She's pickin' up good vibrations He's lookin' for sweet sensations Ladies? (Yeah?) Fuck it, we shakin' (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) We swimmin' (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) We jerkin'(Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) We twerkin' (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) You wanna touch it, don't you? (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) Come get this genie in a bottle (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) Come rub it, won't you? (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) I pop it (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) I walk it like I talk it (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) I got your spurs sparkin' (Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya) Ya-ya-ya-ya-ya, oh Let loose Do what you do, baby, Good God I don't wanna hear no ya-ya-ya-ya-ya-ya-ya-ya I got you daydreamin' Put your lips on my lips And strum me like a guitar La-la-la-la-la-la-la-la, you got me movin', boy You got me ooh-in', you might know what you're doin' (Ooh-ooh) Put them babies to bed (Oh-oh) We sweat out the sheets (Oh) Got you up all night and now you don't wanna leave I can soothe your pain, yeah When I'm long gone, you'll call my name, yeah World of Wind got you insane, yeah It's givin' me the faith I'm pickin' up good vibrations (Ooh) He's givin' me sweet sensations (Oh) B-E-Y-I-N-C-E, ya (Get down) We gon' bust it down (Ya-ya) From Texas (From Texas) To Gary (To Gary) All the way down to New York City (New York City) Give me a kiss Big daddy, you so pretty (So pretty) Got these slugs in my mouth, when I die, don't take 'em out (Got these slugs in my mouth, when I die, don't take 'em out) Ooh Baby, if you ain't got no grits, get the fuck up out the South (If you ain't got no grits, get the fuck up out the South) Mmh Life is comin' at me fast, keep my Bible on the dash His pistol in my seat, just in case I gotta blast I just wanna shake my ass (Have a blast), ooh I just wanna shake my ass (Have a blast), ooh (We vibratin') And lover boy, you're so fine Ooh, you got me losin' my mind But you gotta keep the faith Oh-oh-oh-oh-oh We gotta keep the faith Ah, vote Ah, oh, woah-oh",0.617,0.904,-5.371,0.341,0.317,0,0.507,0.764,151.926,4,274766,TRUE,B,major
